Date,Days,Location,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct
12/15/20,3,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/20,3,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,MS,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,CT,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,ND,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,VT,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,NH,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,SC,2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,IA,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,BP2,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,WV,6692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,KY,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,US,51634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,RI,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,NM,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,KS,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,NC,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,OK,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,MI,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,TX,29970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,NJ,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,NV,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,AR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,MT,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,FL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,VA2,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,CA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,CO,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,SD,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,WI,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,LTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,HI,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,IH2,3193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,VI,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,VA,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,DD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,NY,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,MO,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/20,4,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,IA,1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,NM,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,NC,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,CT,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,AZ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,MO,2423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,FL,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,HI,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,US,127342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,VA2,3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,GU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,CA,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,MT,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,NE,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,KY,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,PR,2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,AL,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,ND,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,MA,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/20,5,OK,2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
